team,season,first_half_goals,second_half_goals,league
RAYO,2014,23.0,26.0,La Liga
RMA,2014,48.0,44.0,La Liga
RSO,2014,19.0,27.0,La Liga
SEV,2014,39.0,37.0,La Liga
VIL,2014,35.0,25.0,La Liga
VLC,2014,38.0,39.0,La Liga
ATHB,2015,28.0,34.0,La Liga
ATHM,2015,44.0,44.0,La Liga
BARC,2015,45.0,46.0,La Liga
BET,2015,20.0,25.0,La Liga
CEL,2015,31.0,29.0,La Liga
EIB,2015,30.0,13.0,La Liga
ESP,2015,21.0,22.0,La Liga
GET,2015,23.0,13.0,La Liga
GRA,2015,17.0,22.0,La Liga
LAC,2015,27.0,15.0,La Liga
LASP,2015,18.0,26.0,La Liga
LEVA,2015,14.0,18.0,La Liga
MLG,2015,24.0,24.0,La Liga
RAYO,2015,15.0,23.0,La Liga
RMA,2015,40.0,50.0,La Liga
RSO,2015,20.0,28.0,La Liga
SEV,2015,29.0,23.0,La Liga
