league,season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
bundesliga,2024,2024-11-30,AUG,BOC,1.0,0.0,1,3.0,0.0,1.73,3.96,4.69
bundesliga,2024,2024-11-30,FRE,M'G,3.0,1.0,1,3.0,0.0,2.0,3.75,3.59
bundesliga,2024,2024-11-30,RBL,WOB,1.0,5.0,-1,0.0,3.0,1.69,4.12,4.75
bundesliga,2024,2024-11-30,UNI,LEVK,1.0,2.0,-1,0.0,3.0,4.65,3.83,1.76
bundesliga,2024,2024-11-30,WERB,STU,2.0,2.0,0,1.0,1.0,3.0,3.75,2.25
bundesliga,2024,2024-11-30,DOR,BAY,1.0,1.0,0,1.0,1.0,4.54,4.32,1.69
bundesliga,2024,2024-11-29,STP,HOLK,3.0,1.0,1,3.0,0.0,1.71,3.79,5.11
bundesliga,2024,2024-11-24,HOLK,MAI,0.0,3.0,-1,0.0,3.0,3.07,3.49,2.3
bundesliga,2024,2024-11-24,M'G,STP,2.0,0.0,1,3.0,0.0,1.81,3.77,4.34
bundesliga,2024,2024-11-23,DOR,FRE,4.0,0.0,1,3.0,0.0,1.68,4.2,4.73
bundesliga,2024,2024-11-23,HOF,RBL,4.0,3.0,1,3.0,0.0,3.39,3.66,2.1
bundesliga,2024,2024-11-23,LEVK,HEI,5.0,2.0,1,3.0,0.0,1.19,7.63,13.79
bundesliga,2024,2024-11-23,STU,BOC,2.0,0.0,1,3.0,0.0,1.31,6.11,8.33
bundesliga,2024,2024-11-23,WOB,UNI,1.0,0.0,1,3.0,0.0,2.32,3.3,3.24
bundesliga,2024,2024-11-23,EINF,WERB,1.0,0.0,1,3.0,0.0,1.71,4.25,4.46
bundesliga,2024,2024-11-22,BAY,AUG,3.0,0.0,1,3.0,0.0,1.12,10.21,19.53
bundesliga,2024,2024-11-10,AUG,HOF,0.0,0.0,0,1.0,1.0,2.1,3.79,3.25
bundesliga,2024,2024-11-10,STU,EINF,2.0,3.0,-1,0.0,3.0,1.91,4.04,3.65
bundesliga,2024,2024-11-10,HEI,WOB,1.0,3.0,-1,0.0,3.0,2.83,3.33,2.54
bundesliga,2024,2024-11-09,BOC,LEVK,1.0,1.0,0,1.0,1.0,10.15,6.68,1.26
bundesliga,2024,2024-11-09,MAI,DOR,3.0,1.0,1,3.0,0.0,3.46,3.74,2.06
