league,season,team,first_half_pts,second_half_pts
Bundesliga,2021,AUG,23.529411764705884,23.529411764705884
Bundesliga,2021,BAY,100.0,100.0
Bundesliga,2021,BIE,5.882352941176471,5.882352941176471
Bundesliga,2021,BOC,29.411764705882355,29.411764705882355
Bundesliga,2021,DOR,94.11764705882354,94.11764705882354
Bundesliga,2021,EINF,41.1764705882353,41.1764705882353
Bundesliga,2021,FRE,70.58823529411765,70.58823529411765
Bundesliga,2021,GREF,0.0,0.0
Bundesliga,2021,HERT,11.764705882352942,11.764705882352942
Bundesliga,2021,HOF,52.94117647058824,52.94117647058824
Bundesliga,2021,KOL,64.70588235294117,64.70588235294117
Bundesliga,2021,LEVK,88.23529411764706,88.23529411764706
Bundesliga,2021,M'G,47.05882352941177,47.05882352941177
Bundesliga,2021,MAI,58.82352941176471,58.82352941176471
Bundesliga,2021,RBL,82.3529411764706,82.3529411764706
Bundesliga,2021,STU,17.647058823529413,17.647058823529413
Bundesliga,2021,UNI,76.47058823529412,76.47058823529412
Bundesliga,2021,WOB,35.294117647058826,35.294117647058826
Bundesliga,2022,AUG,17.647058823529413,17.647058823529413
Bundesliga,2022,BAY,100.0,100.0
Bundesliga,2022,BOC,23.529411764705884,23.529411764705884
Bundesliga,2022,DOR,94.11764705882354,94.11764705882354
Bundesliga,2022,EINF,64.70588235294117,64.70588235294117
Bundesliga,2022,FRE,76.47058823529412,76.47058823529412
Bundesliga,2022,HERT,0.0,0.0
Bundesliga,2022,HOF,35.294117647058826,35.294117647058826
Bundesliga,2022,KOL,41.1764705882353,41.1764705882353
Bundesliga,2022,LEVK,70.58823529411765,70.58823529411765
Bundesliga,2022,M'G,47.05882352941177,47.05882352941177
Bundesliga,2022,MAI,52.94117647058824,52.94117647058824
Bundesliga,2022,RBL,88.23529411764706,88.23529411764706
Bundesliga,2022,SCH,5.882352941176471,5.882352941176471
Bundesliga,2022,STU,11.764705882352942,11.764705882352942
Bundesliga,2022,UNI,82.3529411764706,82.3529411764706
Bundesliga,2022,WERB,29.411764705882355,29.411764705882355
Bundesliga,2022,WOB,58.82352941176471,58.82352941176471
Bundesliga,2023,AUG,41.1764705882353,41.1764705882353
Bundesliga,2023,BAY,88.23529411764706,88.23529411764706
Bundesliga,2023,BOC,11.764705882352942,11.764705882352942
Bundesliga,2023,DAR,0.0,0.0
Bundesliga,2023,DOR,76.47058823529412,76.47058823529412
Bundesliga,2023,EINF,70.58823529411765,70.58823529411765
Bundesliga,2023,FRE,47.05882352941177,47.05882352941177
Bundesliga,2023,HEI,58.82352941176471,58.82352941176471
Bundesliga,2023,HOF,64.70588235294117,64.70588235294117
Bundesliga,2023,KOL,5.882352941176471,5.882352941176471
Bundesliga,2023,LEVK,100.0,100.0
Bundesliga,2023,M'G,23.529411764705884,23.529411764705884
Bundesliga,2023,MAI,29.411764705882355,29.411764705882355
