team,season,first_half_points,second_half_points,league
DOR,2013,94.11764705882354,94.11764705882354,Bundesliga
EINF,2013,29.411764705882355,29.411764705882355,Bundesliga
FRE,2013,23.529411764705884,23.529411764705884,Bundesliga
HAM,2013,11.764705882352942,11.764705882352942,Bundesliga
HAN,2013,47.05882352941177,47.05882352941177,Bundesliga
HERT,2013,41.1764705882353,41.1764705882353,Bundesliga
HOF,2013,52.94117647058824,52.94117647058824,Bundesliga
LEVK,2013,82.3529411764706,82.3529411764706,Bundesliga
M'G,2013,70.58823529411765,70.58823529411765,Bundesliga
MAI,2013,64.70588235294117,64.70588235294117,Bundesliga
NUR,2013,5.882352941176471,5.882352941176471,Bundesliga
SCH,2013,88.23529411764706,88.23529411764706,Bundesliga
STU,2013,17.647058823529413,17.647058823529413,Bundesliga
WERB,2013,35.294117647058826,35.294117647058826,Bundesliga
WOB,2013,76.47058823529412,76.47058823529412,Bundesliga
AUG,2014,76.47058823529412,76.47058823529412,Bundesliga
BAY,2014,100.0,100.0,Bundesliga
DOR,2014,64.70588235294117,64.70588235294117,Bundesliga
EINF,2014,52.94117647058824,52.94117647058824,Bundesliga
FRE,2014,5.882352941176471,5.882352941176471,Bundesliga
HAM,2014,11.764705882352942,11.764705882352942,Bundesliga
HAN,2014,29.411764705882355,29.411764705882355,Bundesliga
HERT,2014,17.647058823529413,17.647058823529413,Bundesliga
HOF,2014,58.82352941176471,58.82352941176471,Bundesliga
KOL,2014,35.294117647058826,35.294117647058826,Bundesliga
LEVK,2014,82.3529411764706,82.3529411764706,Bundesliga
M'G,2014,88.23529411764706,88.23529411764706,Bundesliga
MAI,2014,41.1764705882353,41.1764705882353,Bundesliga
PAD,2014,0.0,0.0,Bundesliga
SCH,2014,70.58823529411765,70.58823529411765,Bundesliga
STU,2014,23.529411764705884,23.529411764705884,Bundesliga
WERB,2014,47.05882352941177,47.05882352941177,Bundesliga
WOB,2014,94.11764705882354,94.11764705882354,Bundesliga
AUG,2015,35.294117647058826,35.294117647058826,Bundesliga
BAY,2015,100.0,100.0,Bundesliga
DAR,2015,23.529411764705884,23.529411764705884,Bundesliga
DOR,2015,94.11764705882354,94.11764705882354,Bundesliga
EINF,2015,11.764705882352942,11.764705882352942,Bundesliga
HAM,2015,47.05882352941177,47.05882352941177,Bundesliga
HAN,2015,0.0,0.0,Bundesliga
HERT,2015,64.70588235294117,64.70588235294117,Bundesliga
HOF,2015,17.647058823529413,17.647058823529413,Bundesliga
ING,2015,41.1764705882353,41.1764705882353,Bundesliga
KOL,2015,52.94117647058824,52.94117647058824,Bundesliga
LEVK,2015,88.23529411764706,88.23529411764706,Bundesliga
M'G,2015,82.3529411764706,82.3529411764706,Bundesliga
MAI,2015,70.58823529411765,70.58823529411765,Bundesliga
SCH,2015,76.47058823529412,76.47058823529412,Bundesliga
STU,2015,5.882352941176471,5.882352941176471,Bundesliga
WERB,2015,29.411764705882355,29.411764705882355,Bundesliga
WOB,2015,58.82352941176471,58.82352941176471,Bundesliga
